Timestamp,Peak_Voltage_V
18:14:41.621260,5.0
18:14:43.631999,0.0
18:14:44.636158,0.1
18:14:45.640271,0.2
18:14:46.646250,0.3
18:14:47.653063,0.4
18:14:48.660501,0.5
18:14:49.666237,0.6
18:14:50.671478,0.7
18:14:51.678467,0.8
18:14:52.682716,0.9
18:14:53.689408,1.0
18:14:54.692895,1.1
18:14:55.700087,1.2
18:14:56.708497,1.3
18:14:57.714477,1.4
18:14:58.721498,1.5
18:14:59.728404,1.6
18:15:00.734964,1.7
18:15:01.743075,1.8
18:15:02.750511,1.9
18:15:03.756229,2.0
18:15:04.762475,2.1
18:15:05.770371,2.2
18:15:06.775003,2.3
18:15:07.782503,2.4
18:15:08.789382,2.5
18:15:09.794924,2.6
18:15:10.799330,2.7
18:15:11.802457,2.8
18:15:12.808485,2.9
18:15:13.810480,3.0
18:15:14.817218,3.1
18:15:15.822874,3.2
18:15:16.827362,3.3
18:15:17.836293,3.4
18:15:18.843055,3.5
18:15:19.850491,3.6
18:15:20.858372,3.7
18:15:21.862487,3.8
18:15:22.867222,3.9
18:15:23.871508,4.0
18:15:24.875637,4.1
18:15:25.880642,4.2
18:15:26.883758,4.3
18:15:27.900208,4.4
18:15:28.904931,4.5
18:15:29.909640,4.6
18:15:30.917246,4.7
18:15:31.920365,4.8
18:15:32.921451,4.9
18:15:33.927379,5.0
18:15:34.935241,0.0
