Timestamp,Peak_Voltage_V
18:08:50.916961,5.0
18:08:52.922184,0.0
18:08:53.928415,0.1
18:08:54.934866,0.2
18:08:55.943044,0.3
18:08:56.950465,0.4
18:08:57.954922,0.5
18:08:58.959315,0.6
18:08:59.964874,0.7
18:09:00.970130,0.8
18:09:01.975869,0.9
18:09:02.984480,1.0
18:09:03.987372,1.1
18:09:04.992074,1.2
18:09:05.998399,1.3
18:09:07.002745,1.4
18:09:08.009968,1.5
18:09:09.018389,1.6
18:09:10.024935,1.7
18:09:11.034489,1.8
18:09:12.044484,1.9
18:09:13.049032,2.0
18:09:14.052727,2.1
18:09:15.060505,2.2
18:09:16.064870,2.3
18:09:17.070395,2.4
18:09:18.078818,2.5
18:09:19.084067,2.6
18:09:20.092501,2.7
18:09:21.100510,2.8
18:09:22.108401,2.9
18:09:23.114489,3.0
18:09:24.122497,3.1
18:09:25.129410,3.2
18:09:26.132506,3.3
18:09:27.133746,3.4
18:09:28.143062,3.5
18:09:29.150480,3.6
18:09:30.157202,3.7
18:09:31.161154,3.8
18:09:32.164464,3.9
18:09:33.169355,4.0
18:09:34.176275,4.1
18:09:35.184494,4.2
18:09:36.189289,4.3
18:09:37.192740,4.4
18:09:38.199276,4.5
18:09:39.204500,4.6
18:09:40.209463,4.7
18:09:41.216322,4.8
18:09:42.223058,4.9
18:09:43.230463,5.0
18:09:44.234346,0.0
